epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9467,0.6649,0.41207,0.95547,0.86542,0.7996,0.88179,0.50658,1.58946,0.87275,1.89632,0.000659794,0.000659794,0.000659794
2,63.194,0.76115,0.47011,1.00515,0.85852,0.77567,0.85087,0.47066,1.66189,0.96664,1.92474,0.00132644,0.00132644,0.00132644
3,94.2478,0.8618,0.5338,1.05175,0.84779,0.7328,0.81934,0.44188,1.67295,0.98835,1.9143,0.00199301,0.00199301,0.00199301
4,125.126,0.90925,0.57996,1.07509,0.88633,0.76961,0.86366,0.48226,1.59665,0.89797,1.77746,0.00199973,0.00199973,0.00199973
5,156.506,0.90817,0.57226,1.07762,0.86001,0.77567,0.86742,0.48761,1.61474,0.89378,1.77134,0.00199951,0.00199951,0.00199951
6,188.029,0.93581,0.5919,1.09755,0.85486,0.73406,0.83393,0.46724,1.63483,0.9384,1.80251,0.00199924,0.00199924,0.00199924
7,219.638,0.94825,0.58292,1.08914,0.83473,0.75274,0.83854,0.46711,1.62492,0.92263,1.80092,0.0019989,0.0019989,0.0019989
8,251.338,0.97335,0.61451,1.10967,0.82289,0.75075,0.8384,0.46074,1.64426,0.97189,1.81416,0.0019985,0.0019985,0.0019985
9,282.745,0.96714,0.61026,1.10374,0.79544,0.75174,0.82954,0.44696,1.68454,1.11403,1.84878,0.00199805,0.00199805,0.00199805
10,313.845,0.98152,0.61548,1.1178,0.82149,0.75706,0.83702,0.45611,1.63977,0.96089,1.81243,0.00199753,0.00199753,0.00199753
11,345.018,0.9938,0.61222,1.11628,0.82099,0.6676,0.76786,0.40447,1.68619,1.13704,1.78932,0.00199695,0.00199695,0.00199695
12,376.532,0.98626,0.61184,1.11714,0.85195,0.76305,0.86152,0.4871,1.61276,0.97715,1.78089,0.00199631,0.00199631,0.00199631
13,408.393,0.98831,0.62138,1.12078,0.86108,0.70987,0.83391,0.45816,1.65576,0.99856,1.77833,0.00199561,0.00199561,0.00199561
14,440.282,0.99252,0.62954,1.12092,0.82072,0.76869,0.84713,0.46799,1.61932,0.91202,1.80359,0.00199484,0.00199484,0.00199484
15,471.932,0.96997,0.60914,1.10929,0.80623,0.76744,0.83095,0.43722,1.68154,0.9293,1.84182,0.00199402,0.00199402,0.00199402
16,503.636,0.98926,0.60917,1.11881,0.8448,0.77767,0.85639,0.48287,1.60655,0.92722,1.7587,0.00199314,0.00199314,0.00199314
17,535.15,0.95708,0.61044,1.10667,0.84067,0.7657,0.84893,0.46806,1.60244,0.93954,1.75705,0.00199219,0.00199219,0.00199219
18,566.913,0.96092,0.58979,1.10167,0.82248,0.74875,0.83986,0.46965,1.63994,1.15051,1.73966,0.00199119,0.00199119,0.00199119
19,598.491,0.97925,0.60291,1.1177,0.85934,0.72482,0.8332,0.47714,1.58391,0.99499,1.76076,0.00199012,0.00199012,0.00199012
20,629.8,0.97704,0.59994,1.10541,0.85513,0.79451,0.8587,0.46323,1.65048,0.89597,1.80446,0.001989,0.001989,0.001989
21,661.528,0.95773,0.59281,1.10374,0.88563,0.74875,0.86094,0.47792,1.60516,0.89749,1.75579,0.00198781,0.00198781,0.00198781
22,693.78,0.95773,0.59222,1.10254,0.84066,0.75219,0.83955,0.44856,1.67683,0.99208,1.7857,0.00198656,0.00198656,0.00198656
23,725.119,0.98536,0.61291,1.11804,0.84945,0.7667,0.85392,0.46581,1.64825,0.93347,1.79741,0.00198526,0.00198526,0.00198526
24,756.724,0.98701,0.61409,1.11191,0.84965,0.7381,0.83808,0.45779,1.62653,0.98588,1.76929,0.00198389,0.00198389,0.00198389
25,788.708,0.96512,0.61134,1.1049,0.83313,0.76162,0.85098,0.45192,1.70665,0.94501,1.8581,0.00198246,0.00198246,0.00198246
26,820.618,0.97585,0.59992,1.10657,0.81818,0.77168,0.85048,0.47332,1.62263,1.02182,1.74628,0.00198098,0.00198098,0.00198098
27,853.757,0.97143,0.59664,1.10608,0.88257,0.74185,0.87033,0.47751,1.65055,0.92712,1.80408,0.00197943,0.00197943,0.00197943
28,885.698,0.96928,0.59502,1.10584,0.84732,0.77069,0.85846,0.49444,1.58924,0.96911,1.73461,0.00197782,0.00197782,0.00197782
29,918.087,0.96118,0.59878,1.09462,0.86422,0.7667,0.86019,0.47491,1.62081,0.96926,1.78813,0.00197616,0.00197616,0.00197616
30,950.246,0.95301,0.59007,1.0974,0.8804,0.76869,0.87393,0.48891,1.58898,0.87307,1.75553,0.00197443,0.00197443,0.00197443
31,984.65,0.9549,0.58845,1.09117,0.82621,0.78205,0.85106,0.47951,1.62699,0.9586,1.7844,0.00197265,0.00197265,0.00197265
32,1019.73,0.96191,0.59287,1.10398,0.83593,0.75773,0.85231,0.47478,1.67047,1.06839,1.79385,0.0019708,0.0019708,0.0019708
33,1056.02,0.96477,0.61243,1.10606,0.86272,0.77065,0.85492,0.48148,1.5902,0.92452,1.72558,0.0019689,0.0019689,0.0019689
34,1089.79,0.94663,0.59291,1.08845,0.83819,0.79534,0.86515,0.4783,1.62936,0.91633,1.77708,0.00196693,0.00196693,0.00196693
35,1121.53,0.93747,0.59196,1.08931,0.81955,0.78334,0.84648,0.46034,1.61878,0.91697,1.78968,0.00196491,0.00196491,0.00196491
36,1153.46,0.93144,0.57805,1.08492,0.83608,0.77297,0.85129,0.47637,1.59703,0.89086,1.75252,0.00196283,0.00196283,0.00196283
37,1185.68,0.95944,0.59678,1.09762,0.82861,0.78088,0.85234,0.47451,1.59932,0.93316,1.77027,0.00196069,0.00196069,0.00196069
38,1217.72,0.93846,0.57356,1.10126,0.85113,0.77268,0.85974,0.47467,1.62996,0.95337,1.82225,0.00195849,0.00195849,0.00195849
39,1249.53,0.92804,0.56611,1.08306,0.87095,0.73978,0.84235,0.45972,1.68162,0.9724,1.88898,0.00195624,0.00195624,0.00195624
40,1281.22,0.92674,0.57859,1.09161,0.82796,0.7869,0.84997,0.45943,1.64324,0.91232,1.83739,0.00195392,0.00195392,0.00195392
41,1312.76,0.94198,0.58461,1.09747,0.84204,0.77268,0.86012,0.485,1.61554,0.96035,1.77872,0.00195155,0.00195155,0.00195155
42,1344.43,0.95813,0.6045,1.1044,0.83548,0.78166,0.85228,0.46569,1.65149,0.95983,1.79753,0.00194911,0.00194911,0.00194911
43,1375.83,0.93206,0.57698,1.07929,0.87944,0.75174,0.8646,0.48795,1.61172,0.90802,1.7871,0.00194662,0.00194662,0.00194662
44,1407.38,0.94324,0.57179,1.08313,0.85645,0.79112,0.87038,0.48779,1.61552,0.87753,1.78377,0.00194408,0.00194408,0.00194408
45,1439.28,0.91454,0.5523,1.08039,0.88793,0.71186,0.83703,0.46549,1.63086,1.05123,1.79694,0.00194147,0.00194147,0.00194147
46,1472.89,0.93628,0.57648,1.09207,0.84974,0.7555,0.85119,0.47743,1.60088,0.94441,1.74899,0.00193881,0.00193881,0.00193881
47,1509.13,0.91852,0.56947,1.08108,0.87088,0.76969,0.87564,0.48311,1.62285,0.8628,1.80063,0.00193609,0.00193609,0.00193609
48,1542.45,0.93046,0.56193,1.07047,0.83903,0.76911,0.85128,0.47435,1.64384,0.94935,1.78899,0.00193331,0.00193331,0.00193331
49,1574.36,0.95202,0.58342,1.09675,0.83834,0.79107,0.85803,0.47278,1.63068,0.91282,1.79063,0.00193048,0.00193048,0.00193048
50,1616.67,0.90908,0.55579,1.074,0.87602,0.76271,0.86417,0.48835,1.60492,0.97111,1.80402,0.00192759,0.00192759,0.00192759
51,1659.04,0.91477,0.55934,1.07675,0.87043,0.76352,0.87163,0.47321,1.64955,0.88699,1.8136,0.00192464,0.00192464,0.00192464
52,1701.28,0.93215,0.57484,1.08276,0.86306,0.75403,0.84716,0.4428,1.72554,0.92404,1.94275,0.00192164,0.00192164,0.00192164
53,1742.58,0.91438,0.56288,1.08343,0.85027,0.78695,0.86871,0.48969,1.58281,0.92158,1.76502,0.00191858,0.00191858,0.00191858
54,1784.08,0.915,0.55863,1.07726,0.82805,0.79703,0.86156,0.48212,1.62379,0.92008,1.79559,0.00191546,0.00191546,0.00191546
55,1825.66,0.92307,0.56524,1.08032,0.85065,0.77799,0.86384,0.47992,1.63645,0.91138,1.8233,0.00191229,0.00191229,0.00191229
56,1868.08,0.89653,0.54636,1.07409,0.8877,0.78024,0.88304,0.48505,1.64522,0.89958,1.81866,0.00190906,0.00190906,0.00190906
57,1910.02,0.89386,0.54262,1.06268,0.81831,0.79462,0.86382,0.47168,1.67264,0.93831,1.87273,0.00190578,0.00190578,0.00190578
58,1946.45,0.89483,0.55749,1.07204,0.87562,0.76471,0.87651,0.48929,1.60689,0.90939,1.79589,0.00190244,0.00190244,0.00190244
59,1979.07,0.88984,0.54823,1.06775,0.86269,0.77468,0.86385,0.4831,1.60472,0.95486,1.75159,0.00189905,0.00189905,0.00189905
60,2011.33,0.90594,0.55703,1.07421,0.84522,0.79462,0.86768,0.47886,1.64628,0.88662,1.82764,0.0018956,0.0018956,0.0018956
61,2044.04,0.91139,0.55051,1.07065,0.88632,0.73579,0.8617,0.4883,1.58533,0.9465,1.75027,0.0018921,0.0018921,0.0018921
62,2076.91,0.88582,0.54509,1.05952,0.87157,0.76869,0.86417,0.49214,1.60723,0.95069,1.77235,0.00188854,0.00188854,0.00188854
63,2109.46,0.89371,0.53936,1.06522,0.85643,0.79698,0.87877,0.49583,1.61228,0.86633,1.81629,0.00188493,0.00188493,0.00188493
64,2142.31,0.90267,0.54333,1.06815,0.86707,0.79063,0.87213,0.4889,1.61009,0.86091,1.78717,0.00188126,0.00188126,0.00188126
65,2179.95,0.87309,0.53125,1.05292,0.86779,0.75972,0.86193,0.4902,1.61215,0.93629,1.79672,0.00187754,0.00187754,0.00187754
66,2226.34,0.89743,0.54769,1.0592,0.88899,0.75053,0.86558,0.48186,1.61536,0.93547,1.78207,0.00187377,0.00187377,0.00187377
67,2261.97,0.87997,0.53367,1.04932,0.84523,0.78066,0.863,0.49107,1.6053,1.03377,1.79116,0.00186995,0.00186995,0.00186995
68,2296.17,0.90783,0.5559,1.06671,0.86551,0.80658,0.87642,0.48118,1.59315,0.8289,1.77589,0.00186607,0.00186607,0.00186607
69,2331.11,0.87449,0.53009,1.06069,0.82757,0.78955,0.86066,0.47391,1.63524,0.96212,1.80477,0.00186213,0.00186213,0.00186213
70,2365.19,0.89691,0.55555,1.06224,0.86875,0.75374,0.84625,0.46649,1.62873,0.97569,1.80037,0.00185815,0.00185815,0.00185815
71,2399.15,0.88288,0.53982,1.06253,0.8776,0.75773,0.86639,0.50186,1.58105,0.94254,1.7457,0.00185411,0.00185411,0.00185411
72,2433.11,0.89745,0.5417,1.0714,0.87665,0.77235,0.87116,0.49391,1.59134,0.91991,1.77122,0.00185003,0.00185003,0.00185003
73,2467.83,0.89499,0.53976,1.07049,0.86734,0.76171,0.85755,0.47843,1.61703,0.9419,1.77698,0.00184588,0.00184588,0.00184588
74,2502.95,0.86856,0.52335,1.04928,0.88499,0.73579,0.8666,0.49211,1.61966,0.98126,1.79198,0.00184169,0.00184169,0.00184169
75,2537.25,0.86492,0.53804,1.04521,0.87015,0.76471,0.85851,0.48199,1.62484,0.97222,1.77966,0.00183745,0.00183745,0.00183745
76,2571.96,0.86936,0.53337,1.04603,0.86657,0.76409,0.87765,0.49366,1.59037,0.8825,1.79288,0.00183315,0.00183315,0.00183315
77,2605.95,0.86463,0.53586,1.05156,0.85977,0.75673,0.86121,0.4773,1.65146,0.94504,1.85347,0.00182881,0.00182881,0.00182881
78,2640.08,0.86169,0.52452,1.04477,0.89278,0.73978,0.86315,0.47674,1.62577,0.9309,1.80107,0.00182441,0.00182441,0.00182441
79,2672.5,0.86013,0.52801,1.04345,0.8412,0.74998,0.84532,0.47198,1.6308,1.02528,1.802,0.00181997,0.00181997,0.00181997
80,2707.36,0.86301,0.52409,1.04276,0.88432,0.76869,0.8775,0.49406,1.59728,0.88578,1.75613,0.00181547,0.00181547,0.00181547
81,2742.42,0.8426,0.52414,1.03035,0.87366,0.77966,0.87037,0.48208,1.60718,0.88976,1.78961,0.00181093,0.00181093,0.00181093
82,2774.04,0.85666,0.52607,1.04586,0.85562,0.78581,0.87129,0.48691,1.61222,0.91631,1.79897,0.00180633,0.00180633,0.00180633
